PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Modifier,IC50,IC50 Hill Slope,IC50 NormChi2,IC50 StdDev Modifier,IC50 StdDev,Max CPE Inhibition,Max CPE Inibition Conc,Min CPE Inhibition,Min CPE Inhibition Conc,CPE Inhibition @ 20 uM,CPE Inhibition @ 10 uM,CPE Inhibition @ 5 uM,CPE Inhibition @ 2.5 uM,CPE Inhibition @ 1.25 uM,CPE Inhibition @ 0.625 uM,CPE Inhibition @ 0.313 uM,CPE Inhibition @ 0.156 uM,CPE Inhibition @ 0.078 uM,CPE Inhibition @ 0.039 uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,,,,,,,Maximum Inhibition achieved across all concentrations,Concentration (uM) at Maximum Inhibition,Minimum Inhibition achieved across all concentrations,Concentration (uM) at Minimum Inhibition,,,,,,,,,,
RESULT_UNIT,,,,,,,,,MICROMOLAR,NONE,NONE,,NONE,PERCENT,MICROMOLAR,PERCENT,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
450,17509453,4604119,CCCCN1C(=O)C2=C(C=CS2)N=C1SCC3=CC(=CC=C3)[N+](=O)[O-],Inactive,0,,,,,,,,,4.23,5,-2.46,0.078,3.1,2.45,4.23,2.52,0.43,1.05,2.01,2.06,-2.46,-1.48
451,17507954,1447960,CCC1=NN2C=C(C=NC2=C1C3=CC=C(C=C3)F)C(=O)C4=CC=CC=C4O,Inactive,0,,,,,,,,,14.22,20,-0.96,0.039,14.22,6.46,4.12,0.91,2.6,,3.35,-0.56,-0.51,-0.96
452,17512356,2802435,CCOC(=O)C(C(F)(F)F)(NC(=O)C1=CC(=CC=C1)Cl)OCC2=CC=C(C=C2)F,Inactive,0,,,,,,,,,-0.74,2.5,-4.71,1.25,-3.2,-1.27,-1.91,-0.74,-4.71,-2.19,-2.22,-4.18,-2.94,-3.86
453,17504559,1313739,CC(=O)NC1=CC=C(C=C1)NC(=O)COC2=CC=CC=C2C(=O)NC3=C(C(=CC=C3)Cl)Cl,Inactive,0,,,,,,,,,15.01,20,-0.34,0.625,15.01,3.57,1.5,4.59,0.1,-0.34,3.79,1.57,0.8,1.56
454,17505634,1851034,CC1=CC(=C(C=C1)O)C2=NNC(=C2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC(=CC(=N4)C)C,Inactive,0,,,,,,,,,21.76,20,-1.76,0.039,21.76,11.16,0.86,-0.94,2.94,,-0.96,0.12,-0.85,-1.76
455,17505721,1843069,C1COC2=C(O1)C=CC(=C2)N3C(=NNC3=S)C4=C(C=C(C=C4)O)O,Inactive,0,,,,,,,,,19.16,10,-1.9,2.5,18.11,19.16,16.56,-1.9,-1.15,1.43,-1.64,-0.21,3.49,2.73
456,22409776,6091427,C1=CC=C(C(=C1)NS(=O)(=O)C2=CC(=C(C=C2)Cl)NC(=O)/C=C/C3=CC=C(O3)Br)Cl,Inactive,0,,,,,,,,,19.69,20,-3.03,0.039,19.69,10.25,2.84,1.35,0.29,0.14,3.98,1.77,3.11,-3.03
457,22403132,2284739,C/C=C/C1=CC(=C(C=C1)OCCCCOC2=CC=CC=C2C(=O)C)OC,Inactive,0,,,,,,,,,11.89,20,-3.55,0.625,11.89,6.48,-0.81,-1.82,0.66,-3.55,-2.12,-1.3,-2.21,-0.26
458,17513437,5905056,C1COC2=C(C=C(C=C2)/C=C/C(=O)C3=C(C4=CC=CC=C4C=C3)O)OC1,Inactive,0,,,,,,,,,18.22,20,1.19,0.039,18.22,8.45,2.17,2.06,2.1,1.86,1.92,2.8,5.4,1.19
459,17508384,5766646,COC1=CC=C(C=C1)C(=O)/C=C/C2=CC(=C(C=C2)OC)CN3C4=CC=CC=C4N=N3,Inactive,0,,,,,,,,,15.82,20,-2.29,0.039,15.82,6.64,3.56,3.84,3.63,3.31,1.92,1.06,0.7,-2.29
460,17513433,1547789,CCCC1=CC2=C(C=C1OC)OC(=O)C(=C2OC(=O)CC)C3=CC=C(O3)C(=O)OCC,Inactive,0,,,,,,,,,19.64,20,0.36,0.039,19.64,14.58,12.29,6.37,7.77,5.13,5.92,2.66,4.75,0.36
461,17505868,1622988,CC1CCN(CC1)C2=NC(=O)/C(=C/C3=C(NN=C3)C4=CC=CC=C4)/S2,Inactive,0,,,,,,,,,4.98,0.078,-2.7,20,-2.7,-1.4,0.99,2.81,2.68,2.34,2.56,1.18,4.98,0.62
462,22403698,5988153,COC1=CC=C(C=C1)NS(=O)(=O)C2=C(C=CC(=C2)NC(=O)/C=C/C3=CC=CS3)N4CCOCC4,Inactive,0,,,,,,,,,18.43,20,-3.86,0.625,18.43,3.66,-0.44,-3.32,-1.86,-3.86,-0.47,-3.17,-0.87,-1.11
463,17508038,1432082,C1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)C3=NN=C(O3)SCC4=CC=C(C=C4)Cl,Inactive,0,,,,,,,,,10.36,10,-0.17,0.156,7.09,10.36,5.36,5.59,2.32,3.74,2.91,-0.17,1.34,1.87
464,17513240,6078986,CCCC1=NN2C(=N)/C(=C\C3=C(N(C(=C3)C)C4=CC=CC(=C4)C)C)/C(=O)N=C2S1,Inactive,0,,,,,,,,,23.96,20,-3.49,0.078,23.96,15.48,11.37,8.75,7.75,-2.31,0.97,0.37,-3.49,-1.93
465,17507256,5755180,C/C(=C\C(=O)C(C(C(F)(F)F)(F)F)(F)F)/NNC(=O)C1=CC=C(C=C1)OC,Inactive,0,,,,,,,,,6.74,0.313,-14.56,20,-14.56,-14.49,-1.67,1.72,5.21,0.65,6.74,5.56,1.84,1.78
466,22412708,1021466,CC1(CC2=C(CO1)SC(=C2C(=O)O)NC(=O)C3=CC=C(C=C3)OC)C,Inactive,0,,,,,,,,,27.17,20,0.23,0.039,27.17,16.22,9.15,8.75,5.28,2.14,3.6,1.84,1.72,0.23
467,22412977,1022369,C1CCCC2=C(CC1)C(=C(S2)N3C(=O)NC4=CC=CC=C4N3O)C#N,Inactive,0,,,,,,,,,19.93,20,-1.1,0.625,19.93,7.05,4.14,5.56,-0.14,-1.1,1.04,1.67,-0.05,0.43
468,22405845,9642030,C/C(=N\NC(=O)C1=CC=CC=C1)/C2=NC3=CC=CC=C3N2C,Inactive,0,,,,,,,,,2.32,2.5,-15.53,20,-15.53,-2.1,-3.11,2.32,0.14,0.84,-1.05,0.78,-1.62,1.96
469,17508429,5761341,CCCCCCC1=C(C=C2C(=C1)C=C(C(=O)O2)C(=O)NC3=CC=C(C=C3)OC)O,Inactive,0,,,,,,,,,8.19,5,-4.02,10,-3.41,-4.02,8.19,7.34,5.16,1.96,5.49,1.74,1.79,5.6
470,17508157,3079036,C1C(NC(C(C1=O)C2=CC=CC=C2)C3=CC=C(C=C3)Br)C4=CC=C(C=C4)Br,Inactive,0,,,,,,,,,12.74,5,-2.17,0.039,7.99,8.86,12.74,1.27,2.09,0.32,1.99,0.21,3.33,-2.17
471,17508880,1105152,CC1=CC=C(C=C1)S(=O)(=O)CCSC2=CC=CC(=C2)C(=O)NC3=CC=CC=C3C(=O)O,Inactive,0,,,,,,,,,28.2,20,-0.6,0.156,28.2,9.08,9.53,6.2,2.2,3.66,1.92,-0.6,1.27,2.27
472,17504578,2186937,CC1=CC=C(C=C1)OCCSCC2=NN=C(S2)NC(=O)NC3=CC(=CC=C3)Cl,Inactive,0,,,,,,,,,19.43,20,-0.23,0.039,19.43,15.79,12.33,4.32,6.43,-0.22,-0.19,-0.02,0.9,-0.23
473,22414819,7514664,CC1=CC=CC=C1N=C2N(C(=O)CS2)CC3=CC=CC=C3,Inactive,0,,,,,,,,,5.41,0.156,-1.46,0.078,3.79,-0.76,4.08,-0.17,3.2,2.44,1.2,5.41,-1.46,2.09
474,17505102,4886445,CC1=CC=C(C=C1)C2CC3=C(C=NN3C4=NC(=CC(=N4)C)C)C(=O)C2,Inactive,0,,,,,,,,,8.57,2.5,-1.64,0.078,5.7,2.97,3.34,8.57,8.34,-0.76,0.61,3.74,-1.64,4.69
475,22409602,2531424,C1=CC=C(C(=C1)C2=NN=C(O2)SCC3=NC4=CC=CC=C4S3)Br,Inactive,0,,,,,,,,,0.37,20,-4.3,2.5,0.37,-3.36,-2.6,-4.3,-0.86,-0.37,-3.15,-1.18,-0.02,-2.56
476,17513208,930489,C1CCN(CC1)C2=NC3=CC=CC=C3C=C2C=C(C#N)C#N,Inactive,0,,,,,,,,,12.57,20,-3.91,2.5,12.57,3.24,2.79,-3.91,0.66,-0.68,-1,-0.51,-3.76,-1.59
477,17513959,3875739,CC1CC(CN(C1)C2=NC(=NC(=C2[N+](=O)[O-])N)NCC3=CC=CO3)C,Inactive,0,,,,,,,,,25.49,20,1.79,0.625,25.49,11.37,2.86,5.3,4.31,1.79,4.96,4.83,4.45,10.32
478,22404676,5431792,CC1=NN(C(=C1Cl)C(=O)N/N=C(\C)/C2=CC=C(C=C2)NC(=O)C3=CC=NC=C3)C,Inactive,0,,,,,,,,,17.72,20,2.84,2.5,17.72,14.66,10.51,2.84,3.65,7.62,7.26,3.35,4.42,8.39
479,22402718,9607314,C/C(=N\OCC(=O)NC1=CC=CC=C1SC)/C2=CC3=CC=CC=C3O2,Inactive,0,,,,,,,,,12.91,20,-4.69,0.039,12.91,-1.09,-1.37,1.16,0.41,-4.32,-2.25,-1.08,-2.15,-4.69
480,17508961,82379,C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)NC3=CC=CC=C3C4=NC5=CC=CC=C5C(=O)O4,Inactive,0,,,,,,,,,11.11,10,0.11,0.039,10.92,11.11,0.59,0.35,0.17,5.89,2.65,1.84,0.85,0.11
481,17431787,2277195,COC(=O)C1=CC=CC=C1N/C=C/C(=O)C2=CC=C(C=C2)Br,Inactive,0,,,,,,,,,28.62,20,-1.52,0.078,28.62,7.92,8.47,4.37,6.29,2.8,1.73,0.17,-1.52,1.63
482,17509469,12004838,CCOC(=O)C1=CC(=C(C=C1)N2CCN(CC2)C3=CC=CC=C3F)NC(=O)NC4=CC=CC=C4,Inactive,0,,,,,,,,,19.68,20,-3.25,0.313,19.68,13.29,9.7,-1.45,1.67,2.18,-3.25,0.01,-1.75,-2.54
483,17508064,135498046,C1=CC=C2C(=C1)C3=CC=CC=C3C2=N/N=C\C4=C(C(=CC=C4)[N+](=O)[O-])O,Inactive,0,,,,,,,,,22.18,20,-0.87,0.039,22.18,20.46,14.16,9.17,7.9,3.6,5.65,4.53,7.87,-0.87
484,17507925,3119624,CC1=CC=C(C=C1)N2C(=O)C3CC(=C4C5C=CC(C4C3C2=O)C6C5C(=O)N(C6=O)C7=CC=C(C=C7)C)C8=CC=CC=C8,Inactive,0,,,,,,,,,22.46,5,5.66,0.039,11.8,20.15,22.46,19.51,21.74,18.06,9.07,6.39,13.67,5.66
485,22411355,9682198,C\1C(OC2=CC=CC=C2/C1=N\NC3=CC(=C(C=C3)Cl)C(=O)O)C4=CC=CC=C4,Inactive,0,,,,,,,,,16.55,20,-3.21,0.625,16.55,5.28,1.75,2.26,-1.22,-3.21,3.55,-1.71,0.84,-1.56
486,22410670,2104741,CC1=C(C=CC(=C1)F)S(=O)(=O)NC2=C3C(=CSC3=NC=N2)C4=CC=C(C=C4)F,Inactive,0,,,,,,,,,21.73,20,-0.12,0.078,21.73,18.89,12.65,4.3,4.35,2.55,4.35,1.06,-0.12,1.43
487,22411460,6141196,CN(C1=CC=CC=C1)C2=C(C=C(C=C2)/C=C(\CCC(=O)O)/C3=NC4=CC=CC=C4S3)[N+](=O)[O-],Inactive,0,,,,,,,,,24.69,10,-3.73,0.078,21.43,24.69,5.22,-1.45,-0.98,-0.24,-2.91,-0.81,-3.73,2.62
488,17509809,12004984,CC1=CC(=C(C=C1)C)N2CCN(CC2)C(=O)CC3=CC=C(C=C3)N4C(=O)C5=C(C=CS5)NC4=O,Inactive,0,,,,,,,,,20.07,10,2.03,0.156,13.25,20.07,10.97,10.24,8.99,3.64,7.41,2.03,3.58,6.41
489,17504349,2043769,CC1=CC2=C(C=C1)N(C(=C2SC3=CC=CC=C3)CC(=O)O)C,Inactive,0,,,,,,,,,2.67,2.5,-1.7,1.25,-0.49,-0.35,0.68,2.67,-1.7,-1.38,0.35,-0.97,-1.29,1.31
490,22406965,1515820,C1CCN(CC1)C2=NC3=CC=CC=C3C=C2/C=C(\C#N)/C(=O)N,Inactive,0,,,,,,,,,22.52,20,-0.69,0.313,22.52,12.02,5.44,3.13,0.36,4.27,-0.69,4.01,5.04,2.44
491,22402118,135521513,CCOC(=O)C1=CC=C(C=C1)NC(=O)CC2C(=O)N/C(=N\N=C\C3=CNC4=CC=CC=C43)/S2,Inactive,0,,,,,,,,,14.89,5,-1.03,0.156,11.67,4.2,14.89,13.25,6.12,4.4,3.02,-1.03,1.43,0.32
492,22412871,4601136,CC(C)(C)C1CCC2=C(C1)SC(=C2C#N)NC(=O)C3CC=CCC3C(=O)O,Inactive,0,,,,,,,,,26.82,20,-2.88,0.156,26.82,20.94,9.07,6.32,5.66,0.06,2.74,-2.88,-0.05,-2.66
493,17507322,201986,C1=CC=C(C(=C1)C(=O)O)NC2=CC=C(C=C2)[N+](=O)[O-],Inactive,0,,,,,,,,,24.61,20,-2.61,0.039,24.61,12.57,6.15,6.73,3.06,1.33,3.9,1.96,2.02,-2.61
494,17507916,3046101,C1=CC=C(C=C1)N2C(=NC3=CC=CC=C3C2=O)CSC(=N)N.Br,Inactive,0,,,,,,,,,5.16,0.313,-4.62,20,-4.62,-2.36,1.31,1.86,-0.57,-0.82,5.16,-1.33,3.86,1.48
495,17509956,12005058,CC1=CC=CC=C1N2C(C(C2=O)OC3=CC=C(C=C3)Cl)CNCCCOC,Inactive,0,,,,,,,,,14.44,20,-1.38,0.039,14.44,6.94,9.53,3.01,4.61,5.18,2.39,4.01,5.13,-1.38
496,22403588,2434116,C1=CC=C(C=C1)C2=C(N(N=C2CSC3=NC4=CC=CC=C4N3)C5=CC(=CC=C5)Cl)N,Inactive,0,,,,,,,,,23.79,20,-2.13,0.078,23.79,17.33,15.22,15.19,1.25,3.65,2.71,2.04,-2.13,-0.19
497,17434061,891452,COC1=C(C=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)O)Cl,Inactive,0,,,,,,,,,24.13,20,-1.87,0.313,24.13,16.44,14.08,2.81,1.59,-0.24,-1.87,0.34,2.85,-1.09
498,17507152,2874132,CC1=CC=C(C=C1)C(=O)N/C(=C\C2=CC=CS2)/C(=O)NCC3=CN=CC=C3,Inactive,0,,,,,,,,,10.19,20,-3.54,0.078,10.19,2.85,0.53,2.11,2.04,-2.33,-0.61,-0.73,-3.54,0.03
499,22412356,9629398,CCOC1=C(C(=CC(=C1)/C=N/NC2=CC=C(C=C2)C(=O)O)Br)OCC=C,Inactive,0,,,,,,,,,15.24,10,0.62,1.25,14.06,15.24,7.92,3.93,0.62,1.66,6.77,4.38,4.6,5.01
500,22410723,2123929,CC1=CC=CC=C1S(=O)(=O)NC2=C3C(=CSC3=NC=N2)C4=CC=CC=C4,Inactive,0,,,,,,,,,20.4,20,-0.75,0.039,20.4,12.34,8.86,1.23,1.53,-0.34,7.6,1.09,0.9,-0.75
501,22412268,135401353,C1=CC=C(C=C1)CN2C=CC(=N2)NC(=O)C3=NNC(=C3Cl)[N+](=O)[O-],Inactive,0,,,,,,,,,14.01,20,-3.02,0.156,14.01,9.27,1.5,0.21,-0.26,-2.7,0.02,-3.02,-2.69,-1.46
502,22412582,135401370,C1CC2=C(C1)NC3=C(C(=O)NN3C2=O)N=NC4=CC(=CC=C4)Cl,Inactive,0,,,,,,,,,16.82,20,1.08,2.5,16.82,3.97,6.93,1.08,3.72,,1.36,2.65,1.38,1.51
503,22410317,3997980,C1CN(CCC1NC(=O)C2=CC(=CC=C2)S(=O)(=O)NC3=C(C=CC(=C3)C(F)(F)F)Cl)CC4=CC=CC=C4,Inactive,0,,,,,,,,,21.7,20,-4.72,0.078,21.7,11.8,10.86,7.63,3.57,-1.46,-1.28,-0.56,-4.72,-2.73
504,17513630,951254,CC1=CC(=CC=C1)N2C3=C(C=C(C=C3)[N+](=O)[O-])C=C4C2=NC(=O)NC4=O,Inactive,0,,,,,,,,,16.15,20,-2.08,2.5,16.15,6.42,3.66,-2.08,-0.14,0.6,2.3,-1.09,0.92,0.04
505,22401769,1422370,CC1=CC=C(C=C1)C(=O)C2=COC3=C2C(=C(C(=C3)[N+](=O)[O-])O)[N+](=O)[O-],Inactive,0,,,,,,,,,18.64,20,-2.31,0.625,18.64,5.95,1.16,-0.07,-2.04,-2.31,1.28,-0.4,-2.21,-2.01
506,17511483,2033765,CN1C2=CC=CC=C2C(=O)C3=C1N=C(N(C3=O)CCOC)C4=CC=CC=C4Cl,Inactive,0,,,,,,,,,4.39,20,-3.75,0.625,4.39,-0.45,0.86,-0.09,1.1,-3.75,-1.35,-1.14,0.82,-2.81
507,17510010,6086314,CCSC1=NSC2=NC(=O)/C(=C\C3=CC=CS3)/C(=N)N21,Inactive,0,,,,,,,,,26.67,20,-1.06,0.039,26.67,17,10.56,4.12,3.6,3.47,-0.92,3.05,0.9,-1.06
508,17510032,5875180,CSC1=NSC2=NC(=O)/C(=C\C3=CC=CS3)/C(=N)N21,Inactive,0,,,,,,,,,15.98,20,-0.95,0.078,15.98,9.79,5.31,2.3,1.39,-0.92,0.88,3.82,-0.95,4.32
509,17510011,5818821,CC(C)CSC1=NSC2=NC(=O)/C(=C\C3=CC=CS3)/C(=N)N21,Inactive,0,,,,,,,,,28.57,20,-3.3,0.078,28.57,18.1,12.53,4.07,1.55,1.51,0.66,0.37,-3.3,0.69
510,22412387,851010,CSC1=C(C(=O)NC(=N1)C2=C(C=C(C=C2)Cl)Cl)C#N,Inactive,0,,,,,,,,,24.34,20,-6.11,0.313,24.34,7.47,2.33,2.39,1.42,-1.82,-6.11,-0.31,-2.18,2.67
511,22400427,1227645,CN1CCN(CC1)C2=CC=C(O2)/C=C/3\C(=O)NC(=S)N(C3=O)C4=CC(=CC=C4)Br,Inactive,0,,,,,,,,,14.99,5,0.87,0.039,14.65,9.95,14.99,11.8,7.62,5.13,4.64,6.36,3.38,0.87
512,22414128,843624,CN1C=C(C(=N1)C(=O)NCC2=CC3=C(N2)C=CC(=C3)Cl)[N+](=O)[O-],Inactive,0,,,,,,,,,11.83,5,0.11,0.039,9.85,7.74,11.83,10.09,4.01,7.46,5.04,6.48,4.03,0.11
513,22408139,135466183,CC1=C(C(=CC=C1)C)NC2=NN=C(S2)SC/C(=C(\C#N)/C3=NC4=CC=CC=C4N3)/O,Inactive,0,,,,,,,,,16.84,20,-0.55,0.625,16.84,11.2,5.19,4.36,2.9,-0.55,-0.38,2.75,2.77,6.46
514,14730378,1948690,C1=CC=C2C(=C1)C3=C(O2)C(=NC(=N3)C4=CC=C(C=C4)Cl)SCC(=O)O,Inactive,0,,,,,,,,,24.11,20,0.04,0.039,24.11,12.96,9.72,6.61,4.42,1.36,6.46,1.45,2.64,0.04
515,22409978,4876492,CC1=C(C=CC=C1[N+](=O)[O-])C(=O)NC(CC2=CC=CC=C2)C3=NC4=CC=CC=C4N3,Inactive,0,,,,,,,,,13.54,20,-2.62,0.039,13.54,2.18,1.72,4.15,0.7,-0.68,2.1,2.81,1.35,-2.62
516,14741514,9551681,CC1=CC2=C(C=C1)N=C(S2)NC(=O)C3CCN(CC3)S(=O)(=O)C4=CN=CN4,Inactive,0,,,,,,,,,13.98,20,-3.6,0.313,13.98,11.53,6.96,4.38,3.2,0.89,-3.6,-1.3,-1.4,-3.47
517,14737751,3522948,CC1=C(C(=O)N2C(=N1)C(=CN2)C(=O)NCCC(C)C)Cl,Inactive,0,,,,,,,,,9.83,20,-3.52,2.5,9.83,4.16,3.42,-3.52,-1.55,-0.57,-2.63,-2.73,0.37,4.55
518,14728553,9548392,CC1=C([C@H](NC(=O)N1CC2=CC=CO2)C3=CC(=CC=C3)C(F)(F)F)C(=O)OC,Inactive,0,,,,,,,,,21.58,20,-3.26,0.039,21.58,6.07,7.77,2.08,3.47,1.28,-1.35,0.34,2.58,-3.26
519,17504721,73191,CC(C)([C@H]1CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,Inactive,0,,,,,,,,,4.8,2.5,-3.89,0.039,0.22,0.28,-0.73,4.8,-1.67,1.28,-1.38,3.27,4.4,-3.89
520,14728790,9548160,COC1=CC2=C(C=C1)O[C@H]([C@@H](C2=O)OC(=O)N[C@@H](CC3=CC=CC=C3)C(=O)OC)C4=CC(=C(C=C4)OC)Br,Inactive,0,,,,,,,,,13.67,20,0.73,0.625,13.67,4.44,4.13,2.55,4.83,0.73,2.22,3.16,5.17,7.01
521,22416989,2914741,CCCCN(CCCC)CC(COC1=CC=CC=C1Br)O.Cl,Inactive,0,,,,,,,,,15.34,20,-0.64,0.156,15.34,4.85,3.9,0.61,0.78,3.39,2.71,-0.64,0.6,3.52
522,14728062,6520117,COCCN1C(=O)/C(=C/C2=CC(=C(C=C2)OC3=NC=C(C=C3)[N+](=O)[O-])OC)/SC1=NC4=CC=CC=C4,Inactive,0,,,,,,,,,26.11,10,0.4,0.039,25.63,26.11,19.57,15.19,11.36,2.54,6.9,2.37,3.25,0.4
523,14737433,4615020,CCC1=CC=C(C=C1)C2=CC(N3C(=NC=N3)N2)C4=C(C=CC(=C4)Br)F,Inactive,0,,,,,,,,,-2.15,0.078,-9.85,2.5,-5.9,-6.7,-8.96,-9.85,-7.53,-7.85,-5.11,-2.26,-2.15,-3.36
524,14728076,1048530,COC1=CC=CC(=C1)C(=O)NC2=CC=CC(=C2)C(=O)NC3=NN(C(=O)C3)C4=C(C=C(C=C4Cl)Cl)Cl,Inactive,0,,,,,,,,,18.83,20,0.44,0.156,18.83,2.52,0.52,0.45,3.47,2.04,2.44,0.44,1.17,3.37
525,24836015,2426566,CCOC1=CC=C(C2=CC=CC=C21)C3=CSC(=N3)NC(=O)CSCC(=O)O,Inactive,0,,,,,,,,,17.69,20,-2.22,,17.69,8.38,7.85,3.23,-2.22,-2.22,-1.92,-1.06,-0.85,-1.92
526,24809112,1505919,C1=CC=C(C(=C1)CSC2=CC=CC=N2)C(=O)O,Inactive,0,,,,,,,,,2.46,20,-4.69,5,2.46,-0.01,-4.69,-3.84,-3.49,-3.79,0.12,-0.8,0.9,-1.8
527,24823838,16195591,CC1=CC\2=C(C=C1)N=C(/C2=C\C3=C(N4C(=NC3=O)SN=C4S(=O)(=O)C(C)C)N)C,Inactive,0,,,,,,,,,15.95,20,-1.88,0.078,15.95,10.5,8.03,7.16,2.29,0.04,-1.33,-0.86,-1.88,5.51
528,24834621,135519943,CC(COC)N1C(=O)C2=CC=CC=C2N=C1SCC3=NC4=CC=CC=C4C(=O)N3,Inactive,0,,,,,,,,,29.9,20,-2.53,2.5,29.9,14.18,5.67,-2.53,4.24,0.99,-0.77,0.37,0.9,-2.06
529,24814455,16194362,CCC1=NN2C(=N)/C(=C\C3=CC=CN3C4=C(C=C(C=C4)C)C)/C(=O)N=C2S1,Inactive,0,,,,,,,,,27.22,20,0.8,0.039,27.22,18.52,11.21,9.58,5.02,2.55,6.34,2.37,1.27,0.8
530,24839603,16196923,C1C(CN(C1=O)CC2=CC=CC=C2)C(=O)NCCN3C(=O)/C(=C\C4=CN=CC=C4)/SC3=O,Inactive,0,,,,,,,,,3.69,20,-4.26,0.156,3.69,0.83,0.84,2.5,0.98,-2.54,-0.59,-4.26,-1.91,0.77
531,24834782,4086341,CN(C1CCCCC1)C(=O)C2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)NC(=O)OC,Inactive,0,,,,,,,,,11.44,10,-1.64,0.039,4.71,11.44,5.65,6.21,6.71,-0.79,-1.61,2.29,2.23,-1.64
532,24834312,16196674,COC1=CC=C(C=C1)CCNCC(C2=CC=CC=C2)O.C(=O)(C(=O)O)O,Inactive,0,,,,,,,,,13.74,20,0.84,0.156,13.74,10.79,7.82,4.78,4.22,1.35,1.56,0.84,3.97,2.2
533,24830423,2094981,C1CCC2=C3C(=NN(C3=O)C4=CC=CC=C4)N=C(N2CC1)SCC(=O)NCCC5=CC=CC=C5,Inactive,0,,,,,,,,,10.83,20,-5.41,0.078,10.83,1.34,0.13,1.01,2.66,0.01,-3.55,-1.49,-5.41,-2.14
534,24818380,834196,C1=CC=C2C(=C1)C=CC(=C2CNC3=NNN=N3)OCC4=CC=CC=C4F,Inactive,0,,,,,,,,,11.48,20,-1.91,0.078,11.48,9.35,5.82,4.07,1.32,2.9,0.36,1.33,-1.91,2.22
535,24829815,2421716,C1=CC(=CN=C1)CN(CCC#N)C(=S)NC2=CC=C(C=C2)OC(F)F,Inactive,0,,,,,,,,,3.49,2.5,-2.53,0.078,3.08,0.83,-0.41,3.49,3.1,-0.35,0.77,1.74,-2.53,2.06
536,24823674,6104167,C1=CC(=CC(=C1)N2C=CC=C2/C=C/3\C(=O)N(C(=O)N3)C4=CC=C(C=C4)Cl)C(=O)O,Inactive,0,,,,,,,,,11.04,10,0.16,0.625,10.44,11.04,9.55,0.52,1.15,0.16,2.27,1.43,0.2,1.31
537,24829698,2349751,CCOC(=O)C1=CSC(=N1)NC(=O)CC2CCCC2,Inactive,0,,,,,,,,,6.07,20,-3.55,0.039,6.07,-0.83,3.37,0.93,0.98,-1.9,-0.97,-2.07,-2.58,-3.55
538,24819883,2765798,C#CCSC1=NC=C(C(=O)N1)S(=O)(=O)C2=CC=CC=C2,Inactive,0,,,,,,,,,5.72,5,-1.22,0.078,1.65,-0.99,5.72,0.65,-1.05,-1.03,2.25,-0.07,-1.22,-1.09
539,24822177,6385588,CC(C)(C)C1=CC=C(C=C1)N/N=C(\C#N)/S(=O)(=O)C(C)(C)C,Inactive,0,,,,,,,,,23.89,20,0.04,0.039,23.89,16.13,8.11,2.69,2.58,3.31,4,2.61,0.85,0.04
540,24814092,16194219,CC1=CC(=C(N1C2=CC=CC=C2OC)C)/C=C\3/C(=N)N4C(=NC3=O)SN=C4S(=O)(=O)C,Inactive,0,,,,,,,,,18.06,20,-4.24,0.039,18.06,10.67,5.98,5.19,2.73,-2.57,-2.91,-2.81,-1.75,-4.24
541,24814115,16194228,CC1=CC(=C(N1C2=CC=C(C=C2)F)C)/C=C\3/C(=N)N4C(=NC3=O)SN=C4S(=O)(=O)C,Inactive,0,,,,,,,,,20.58,20,-2.01,0.156,20.58,12.69,10.26,1.79,-0.21,-1.74,-0.87,-2.01,0.01,0.98
542,24813152,2803887,C1=CC=C(C(=C1)C(=O)O)SC2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],Inactive,0,,,,,,,,,9.2,20,-3.16,0.156,9.2,0.69,0.46,1.24,1.5,-0.71,-2.66,-3.16,-2.66,-3.02
543,24824496,1473793,C1=CC(=CC=C1C2=NC(=CS2)C3=CC=C(C=C3)Cl)C(=O)O,Inactive,0,,,,,,,,,20.57,10,-0.9,0.078,16.24,20.57,7.71,9.56,7.43,4.09,4.21,2.08,-0.9,0.65
